YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,ORIGIN,DEST,DEP_DELAY_NEW
2014,1,2,1/2/14,MQ,JFK,DCA,123
2014,1,3,1/3/14,MQ,JFK,DCA,88
2014,1,4,1/4/14,MQ,JFK,DCA,1
2014,1,5,1/5/14,MQ,JFK,DCA,
2014,1,6,1/6/14,MQ,JFK,DCA,
2014,1,7,1/7/14,MQ,JFK,DCA,
2014,1,8,1/8/14,MQ,JFK,DCA,21
2014,1,9,1/9/14,MQ,JFK,DCA,0
2014,1,10,1/10/14,MQ,JFK,DCA,0
2014,1,11,1/11/14,MQ,JFK,DCA,
2014,1,12,1/12/14,MQ,JFK,DCA,47
2014,1,13,1/13/14,MQ,JFK,DCA,2
2014,1,14,1/14/14,MQ,JFK,DCA,0
2014,1,15,1/15/14,MQ,JFK,DCA,0
2014,1,16,1/16/14,MQ,JFK,DCA,105
2014,1,17,1/17/14,MQ,JFK,DCA,0
2014,1,18,1/18/14,MQ,JFK,DCA,0
2014,1,19,1/19/14,MQ,JFK,DCA,0
2014,1,20,1/20/14,MQ,JFK,DCA,0
2014,1,21,1/21/14,MQ,JFK,DCA,
2014,1,22,1/22/14,MQ,JFK,DCA,41
2014,1,23,1/23/14,MQ,JFK,DCA,0
2014,1,24,1/24/14,MQ,JFK,DCA,0
2014,1,25,1/25/14,MQ,JFK,DCA,0
2014,1,26,1/26/14,MQ,JFK,DCA,87
2014,1,27,1/27/14,MQ,JFK,DCA,0
2014,1,28,1/28/14,MQ,JFK,DCA,0
2014,1,29,1/29/14,MQ,JFK,DCA,0
2014,1,30,1/30/14,MQ,JFK,DCA,0
2014,1,31,1/31/14,MQ,JFK,DCA,0
2014,1,1,1/1/14,MQ,JFK,CMH,0
2014,1,2,1/2/14,MQ,JFK,CMH,
2014,1,3,1/3/14,MQ,JFK,CMH,66
2014,1,4,1/4/14,MQ,JFK,CMH,4
2014,1,5,1/5/14,MQ,JFK,CMH,29
2014,1,6,1/6/14,MQ,JFK,CMH,143
2014,1,7,1/7/14,MQ,JFK,CMH,42
2014,1,8,1/8/14,MQ,JFK,CMH,0
2014,1,9,1/9/14,MQ,JFK,CMH,7
2014,1,10,1/10/14,MQ,JFK,CMH,0
2014,1,11,1/11/14,MQ,JFK,CMH,
2014,1,12,1/12/14,MQ,JFK,CMH,43
2014,1,13,1/13/14,MQ,JFK,CMH,0
2014,1,14,1/14/14,MQ,JFK,CMH,8
2014,1,15,1/15/14,MQ,JFK,CMH,119
2014,1,16,1/16/14,MQ,JFK,CMH,224
2014,1,17,1/17/14,MQ,JFK,CMH,0
2014,1,18,1/18/14,MQ,JFK,CMH,0
2014,1,19,1/19/14,MQ,JFK,CMH,0
2014,1,20,1/20/14,MQ,JFK,CMH,0
2014,1,21,1/21/14,MQ,JFK,CMH,
2014,1,22,1/22/14,MQ,JFK,CMH,46
2014,1,23,1/23/14,MQ,JFK,CMH,21
2014,1,24,1/24/14,MQ,JFK,CMH,0
2014,1,25,1/25/14,MQ,JFK,CMH,30
2014,1,26,1/26/14,MQ,JFK,CMH,139
2014,1,27,1/27/14,MQ,JFK,CMH,0
2014,1,28,1/28/14,MQ,JFK,CMH,8
2014,1,29,1/29/14,MQ,JFK,CMH,0
2014,1,30,1/30/14,MQ,JFK,CMH,0
2014,1,31,1/31/14,MQ,JFK,CMH,0
2014,1,1,1/1/14,MQ,JFK,DCA,12
2014,1,2,1/2/14,MQ,JFK,DCA,
2014,1,3,1/3/14,MQ,JFK,DCA,
2014,1,4,1/4/14,MQ,JFK,DCA,0
