YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,ORIGIN,DEST,DEP_DELAY_NEW
2015,1,31,1/31/15,AA,JFK,SJU,2
2015,1,3,1/3/15,AA,JFK,SFO,13
2015,1,5,1/5/15,AA,JFK,SFO,8
2015,1,6,1/6/15,AA,JFK,SFO,145
2015,1,7,1/7/15,AA,JFK,SFO,197
2015,1,8,1/8/15,AA,JFK,SFO,0
2015,1,10,1/10/15,AA,JFK,SFO,0
2015,1,11,1/11/15,AA,JFK,SFO,6
2015,1,12,1/12/15,AA,JFK,SFO,92
2015,1,13,1/13/15,AA,JFK,SFO,0
2015,1,14,1/14/15,AA,JFK,SFO,0
2015,1,15,1/15/15,AA,JFK,SFO,24
2015,1,17,1/17/15,AA,JFK,SFO,0
2015,1,18,1/18/15,AA,JFK,SFO,0
2015,1,19,1/19/15,AA,JFK,SFO,1
2015,1,20,1/20/15,AA,JFK,SFO,0
2015,1,21,1/21/15,AA,JFK,SFO,0
2015,1,22,1/22/15,AA,JFK,SFO,0
2015,1,24,1/24/15,AA,JFK,SFO,33
2015,1,25,1/25/15,AA,JFK,SFO,17
2015,1,26,1/26/15,AA,JFK,SFO,
2015,1,27,1/27/15,AA,JFK,SFO,
2015,1,28,1/28/15,AA,JFK,SFO,0
2015,1,29,1/29/15,AA,JFK,SFO,0
2015,1,31,1/31/15,AA,JFK,SFO,0
2015,1,2,1/2/15,AA,JFK,LAX,0
2015,1,3,1/3/15,AA,JFK,LAX,16
2015,1,4,1/4/15,AA,JFK,LAX,5
2015,1,5,1/5/15,AA,JFK,LAX,11
2015,1,6,1/6/15,AA,JFK,LAX,0
2015,1,7,1/7/15,AA,JFK,LAX,16
2015,1,8,1/8/15,AA,JFK,LAX,0
2015,1,9,1/9/15,AA,JFK,LAX,8
2015,1,11,1/11/15,AA,JFK,LAX,10
2015,1,12,1/12/15,AA,JFK,LAX,0
2015,1,13,1/13/15,AA,JFK,LAX,0
2015,1,14,1/14/15,AA,JFK,LAX,0
2015,1,15,1/15/15,AA,JFK,LAX,79
2015,1,16,1/16/15,AA,JFK,LAX,0
2015,1,18,1/18/15,AA,JFK,LAX,2
2015,1,1,1/1/15,AA,JFK,BOS,4
2015,1,2,1/2/15,AA,JFK,BOS,0
2015,1,3,1/3/15,AA,JFK,BOS,45
2015,1,4,1/4/15,AA,JFK,BOS,0
2015,1,5,1/5/15,AA,JFK,BOS,0
2015,1,6,1/6/15,AA,JFK,BOS,3
2015,1,7,1/7/15,AA,JFK,BOS,44
2015,1,8,1/8/15,AA,JFK,BOS,0
2015,1,9,1/9/15,AA,JFK,BOS,0
2015,1,10,1/10/15,AA,JFK,BOS,2
2015,1,11,1/11/15,AA,JFK,BOS,0
2015,1,12,1/12/15,AA,JFK,BOS,1
2015,1,13,1/13/15,AA,JFK,BOS,1
2015,1,14,1/14/15,AA,JFK,BOS,44
2015,1,15,1/15/15,AA,JFK,BOS,0
2015,1,16,1/16/15,AA,JFK,BOS,1
2015,1,17,1/17/15,AA,JFK,BOS,28
2015,1,18,1/18/15,AA,JFK,BOS,0
2015,1,19,1/19/15,AA,JFK,BOS,0
2015,1,20,1/20/15,AA,JFK,BOS,0
2015,1,21,1/21/15,AA,JFK,BOS,0
2015,1,22,1/22/15,AA,JFK,BOS,0
2015,1,23,1/23/15,AA,JFK,BOS,0
2015,1,24,1/24/15,AA,JFK,BOS,3
2015,1,25,1/25/15,AA,JFK,BOS,0
2015,1,26,1/26/15,AA,JFK,BOS,0
2015,1,27,1/27/15,AA,JFK,BOS,
2015,1,28,1/28/15,AA,JFK,BOS,
2015,1,29,1/29/15,AA,JFK,BOS,0
2015,1,30,1/30/15,AA,JFK,BOS,8
2015,1,31,1/31/15,AA,JFK,BOS,0
2015,1,1,1/1/15,AA,JFK,SFO,0
2015,1,2,1/2/15,AA,JFK,SFO,0
2015,1,3,1/3/15,AA,JFK,SFO,0
2015,1,4,1/4/15,AA,JFK,SFO,0
2015,1,5,1/5/15,AA,JFK,SFO,19
2015,1,6,1/6/15,AA,JFK,SFO,190
2015,1,7,1/7/15,AA,JFK,SFO,24
2015,1,8,1/8/15,AA,JFK,SFO,0
2015,1,9,1/9/15,AA,JFK,SFO,0
2015,1,11,1/11/15,AA,JFK,SFO,0
2015,1,12,1/12/15,AA,JFK,SFO,0
2015,1,13,1/13/15,AA,JFK,SFO,0
2015,1,14,1/14/15,AA,JFK,SFO,7
2015,1,15,1/15/15,AA,JFK,SFO,0
2015,1,16,1/16/15,AA,JFK,SFO,0
2015,1,18,1/18/15,AA,JFK,SFO,50
2015,1,19,1/19/15,AA,JFK,SFO,0
2015,1,20,1/20/15,AA,JFK,SFO,0
2015,1,21,1/21/15,AA,JFK,SFO,0
2015,1,22,1/22/15,AA,JFK,SFO,0
2015,1,23,1/23/15,AA,JFK,SFO,0
2015,1,25,1/25/15,AA,JFK,SFO,0
2015,1,26,1/26/15,AA,JFK,SFO,3
2015,1,27,1/27/15,AA,JFK,SFO,
2015,1,28,1/28/15,AA,JFK,SFO,
2015,1,29,1/29/15,AA,JFK,SFO,0
2015,1,30,1/30/15,AA,JFK,SFO,39
2015,1,1,1/1/15,AA,JFK,SAN,29
2015,1,2,1/2/15,AA,JFK,SAN,1
2015,1,3,1/3/15,AA,JFK,SAN,6
2015,1,4,1/4/15,AA,JFK,SAN,145
2015,1,5,1/5/15,AA,JFK,SAN,2
2015,1,6,1/6/15,AA,JFK,SAN,45
2015,1,7,1/7/15,AA,JFK,SAN,0
2015,1,8,1/8/15,AA,JFK,SAN,4
2015,1,9,1/9/15,AA,JFK,SAN,40
2015,1,10,1/10/15,AA,JFK,SAN,27
2015,1,11,1/11/15,AA,JFK,SAN,0
2015,1,12,1/12/15,AA,JFK,SAN,4
2015,1,13,1/13/15,AA,JFK,SAN,0
2015,1,14,1/14/15,AA,JFK,SAN,1
2015,1,15,1/15/15,AA,JFK,SAN,1
2015,1,16,1/16/15,AA,JFK,SAN,9
2015,1,17,1/17/15,AA,JFK,SAN,0
2015,1,18,1/18/15,AA,JFK,SAN,0
2015,1,19,1/19/15,AA,JFK,SAN,0
2015,1,20,1/20/15,AA,JFK,SAN,0
2015,1,21,1/21/15,AA,JFK,SAN,0
2015,1,22,1/22/15,AA,JFK,SAN,20
2015,1,23,1/23/15,AA,JFK,SAN,0
2015,1,24,1/24/15,AA,JFK,SAN,29
2015,1,25,1/25/15,AA,JFK,SAN,0
2015,1,26,1/26/15,AA,JFK,SAN,
2015,1,27,1/27/15,AA,JFK,SAN,
2015,1,28,1/28/15,AA,JFK,SAN,0
2015,1,29,1/29/15,AA,JFK,SAN,0
2015,1,30,1/30/15,AA,JFK,SAN,0
2015,1,31,1/31/15,AA,JFK,SAN,0
2015,1,1,1/1/15,AA,JFK,ORD,1
2015,1,2,1/2/15,AA,JFK,ORD,1
2015,1,3,1/3/15,AA,JFK,ORD,3
2015,1,4,1/4/15,AA,JFK,ORD,17
2015,1,5,1/5/15,AA,JFK,ORD,18
2015,1,6,1/6/15,AA,JFK,ORD,0
2015,1,7,1/7/15,AA,JFK,ORD,0
2015,1,8,1/8/15,AA,JFK,ORD,6
2015,1,9,1/9/15,AA,JFK,ORD,8
2015,1,10,1/10/15,AA,JFK,ORD,0
2015,1,11,1/11/15,AA,JFK,ORD,1
2015,1,12,1/12/15,AA,JFK,ORD,0
2015,1,13,1/13/15,AA,JFK,ORD,0
2015,1,14,1/14/15,AA,JFK,ORD,0
2015,1,15,1/15/15,AA,JFK,ORD,0
2015,1,16,1/16/15,AA,JFK,ORD,6
2015,1,17,1/17/15,AA,JFK,ORD,0
2015,1,18,1/18/15,AA,JFK,ORD,0
2015,1,19,1/19/15,AA,JFK,ORD,11
2015,1,20,1/20/15,AA,JFK,ORD,0
2015,1,21,1/21/15,AA,JFK,ORD,0
2015,1,22,1/22/15,AA,JFK,ORD,0
2015,1,23,1/23/15,AA,JFK,ORD,0
2015,1,24,1/24/15,AA,JFK,ORD,86
2015,1,25,1/25/15,AA,JFK,ORD,0
2015,1,26,1/26/15,AA,JFK,ORD,0
2015,1,27,1/27/15,AA,JFK,ORD,
2015,1,28,1/28/15,AA,JFK,ORD,
2015,1,29,1/29/15,AA,JFK,ORD,0
